ID_1,ID_extra,ID_2,ID_3,plot_category,d13c,2sd_d13c,sd_d13c,pyr,aggregates,phase,locality,date,category,extracted,instrument
10926,c,28,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-54.87869901,2.181589805,1.090794903,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,3,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-78.55405621,3.19804873,1.599024365,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,32,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-47.14773662,4.867189071,2.433594536,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,5,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-31.41096171,1.621470376,0.810735188,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,33,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-49.24016781,4.418442891,2.209221445,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,34,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-51.62267962,3.175125984,1.587562992,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,35,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-65.17482272,2.803187161,1.401593581,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,15,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-42.03086936,2.068907692,1.034453846,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,31,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-57.03743024,1.070877562,0.535438781,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,11,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-91.72498988,1.245273422,0.622636711,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,NanoSIMS
10926,c,19,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-52.93212384,1.173187901,0.58659395,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,NanoSIMS
10926,c,22,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-70.97430177,3.011968808,1.505984404,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,NanoSIMS
10926,c,23,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-61.74338248,1.270913162,0.635456581,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,NanoSIMS
10926,c,4,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-67.31684664,1.69966928,0.84983464,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,NanoSIMS
10926,c,1,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-57.88719852,1.634810868,0.817405434,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,NanoSIMS
10926,c,29,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-46.17403289,1.498162871,0.749081435,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,NanoSIMS
